OBJECTID,V
3,1
449,1
571,4
1758,4
1055,2
1534,1
1658,2
5,5
1457,5
63,5
6,1
327,1
445,1
505,1
545,1
9,5
448,5
1197,3
486,5
985,4
12,3
1179,3
1367,5
637,3
1054,3
13,4
1041,4
1771,4
194,4
226,4
1047,4
14,2
27,2
913,1
1655,1
16,5
554,5
1035,5
93,1
540,1
2116,1
962,1
18,1
717,1
2068,1
2209,1
1943,1
2194,2
19,3
207,3
2216,3
929,3
20,5
1364,5
2011,5
133,5
1225,5
21,2
278,1
838,1
1443,2
2201,2
2217,1
26,2
1259,2
1735,2
1880,2
1531,5
1541,5
1169,2
1275,2
1611,2
28,2
1693,2
1875,2
530,2
1107,2
37,4
886,5
1720,2
1740,5
640,2
1858,4
2212,2
41,2
130,1
394,1
1425,1
1614,2
1971,2
42,2
459,2
774,1
1135,2
46,3
742,5
2247,3
805,3
47,4
312,5
1606,4
614,4
1955,3
48,5
79,4
2124,4
536,5
1883,3
49,1
932,1
1030,1
1959,2
51,2
587,2
1058,1
1532,1
52,1
60,1
797,1
54,3
665,3
1797,3
2103,3
55,4
375,4
403,4
544,4
592,4
912,4
56,2
1956,2
57,2
651,2
1785,2
1795,2
229,2
757,2
1127,2
58,3
1736,5
1783,3
1161,3
2105,3
641,2
732,1
61,5
85,5
99,5
1963,5
318,3
525,3
1507,4
2012,5
2143,5
67,3
138,3
1391,3
616,3
698,3
69,1
846,1
435,1
1546,1
70,2
952,2
1229,1
1423,1
1829,2
2072,1
548,2
1527,2
1669,1
2104,1
73,5
654,5
1069,5
2198,5
238,3
1019,5
1444,5
2140,3
77,5
876,5
1051,5
2207,5
1753,5
2073,4
136,4
1827,4
164,3
1435,3
80,1
1332,4
1392,1
687,1
781,4
81,3
481,3
1755,3
84,2
850,2
1068,5
1409,5
86,1
1104,1
1227,1
1325,1
1456,1
91,3
377,3
1396,5
172,3
707,3
1078,3
94,2
857,1
1408,1
2045,2
95,2
1038,2
352,2
1917,1
170,1
1252,5
1843,5
1980,5
105,2
743,2
1924,5
986,5
107,2
633,2
1371,2
113,3
275,3
1024,3
1216,3
1411,5
1547,5
116,3
417,3
855,3
270,3
1725,3
117,3
203,3
669,3
513,3
1992,3
118,2
1420,2
1701,1
1734,1
716,1
803,2
1173,1
1603,1
119,1
1301,1
124,1
1195,2
1302,1
1678,2
128,2
386,2
