OBJECTID,V,num
3,1,1
449,1,2
571,4,1
1758,4,2
1055,2,1
1534,1,3
1658,2,2
5,5,1
1457,5,2
63,5,3
6,1,4
327,1,5
445,1,6
505,1,7
545,1,8
9,5,4
448,5,5
1197,3,1
486,5,6
985,4,3
12,3,2
1179,3,3
1367,5,7
637,3,4
1054,3,5
13,4,4
1041,4,5
1771,4,6
194,4,7
226,4,8
1047,4,9
14,2,3
27,2,4
913,1,9
1655,1,10
16,5,8
554,5,9
1035,5,10
93,1,11
540,1,12
2116,1,13
962,1,14
18,1,15
717,1,16
2068,1,17
2209,1,18
1943,1,19
2194,2,5
19,3,6
207,3,7
2216,3,8
929,3,9
20,5,11
1364,5,12
2011,5,13
133,5,14
1225,5,15
21,2,6
278,1,20
838,1,21
1443,2,7
2201,2,8
2217,1,22
26,2,9
1259,2,10
1735,2,11
1880,2,12
1531,5,16
1541,5,17
1169,2,13
1275,2,14
1611,2,15
28,2,16
1693,2,17
1875,2,18
530,2,19
1107,2,20
37,4,10
886,5,18
1720,2,21
1740,5,19
640,2,22
1858,4,11
2212,2,23
41,2,24
130,1,23
394,1,24
1425,1,25
1614,2,25
1971,2,26
42,2,27
459,2,28
774,1,26
1135,2,29
46,3,10
742,5,20
2247,3,11
805,3,12
47,4,12
312,5,21
1606,4,13
614,4,14
1955,3,13
48,5,22
79,4,15
2124,4,16
536,5,23
1883,3,14
49,1,27
932,1,28
1030,1,29
1959,2,30
51,2,31
587,2,32
1058,1,30
1532,1,31
52,1,32
60,1,33
797,1,34
54,3,15
665,3,16
1797,3,17
2103,3,18
55,4,17
375,4,18
403,4,19
544,4,20
592,4,21
912,4,22
56,2,33
1956,2,34
57,2,35
651,2,36
1785,2,37
1795,2,38
229,2,39
757,2,40
1127,2,41
58,3,19
1736,5,24
1783,3,20
1161,3,21
2105,3,22
641,2,42
732,1,35
61,5,25
85,5,26
99,5,27
1963,5,28
318,3,23
525,3,24
1507,4,23
2012,5,29
2143,5,30
67,3,25
138,3,26
1391,3,27
616,3,28
698,3,29
69,1,36
846,1,37
435,1,38
1546,1,39
70,2,43
952,2,44
1229,1,40
1423,1,41
1829,2,45
2072,1,42
548,2,46
1527,2,47
1669,1,43
2104,1,44
73,5,31
654,5,32
1069,5,33
2198,5,34
238,3,30
1019,5,35
1444,5,36
2140,3,31
77,5,37
876,5,38
1051,5,39
2207,5,40
1753,5,41
2073,4,24
136,4,25
1827,4,26
164,3,32
1435,3,33
80,1,45
1332,4,27
1392,1,46
687,1,47
781,4,28
81,3,34
481,3,35
1755,3,36
84,2,48
850,2,49
1068,5,42
1409,5,43
86,1,48
1104,1,49
1227,1,50
1325,1,51
1456,1,52
91,3,37
377,3,38
1396,5,44
172,3,39
707,3,40
1078,3,41
94,2,50
857,1,53
1408,1,54
2045,2,51
95,2,52
1038,2,53
352,2,54
1917,1,55
170,1,56
1252,5,45
1843,5,46
1980,5,47
105,2,55
743,2,56
1924,5,48
986,5,49
107,2,57
633,2,58
1371,2,59
113,3,42
275,3,43
1024,3,44
1216,3,45
1411,5,50
1547,5,51
116,3,46
417,3,47
855,3,48
270,3,49
1725,3,50
117,3,51
203,3,52
669,3,53
513,3,54
1992,3,55
118,2,60
1420,2,61
1701,1,57
1734,1,58
716,1,59
803,2,62
1173,1,60
1603,1,61
119,1,62
1301,1,63
124,1,64
1195,2,63
1302,1,65
1678,2,64
128,2,65
386,2,66
1485,2,67
127,5,52
152,4,29
1467,4,30
189,3,56
602,3,57
2220,5,53
678,1,66
1851,2,68
2202,2,69
131,3,58
897,3,59
1814,3,60
531,3,61
1140,3,62
1672,5,54
134,5,55
497,5,56
849,5,57
2112,5,58
135,2,70
306,5,59
655,5,60
1101,2,71
1710,2,72
1857,2,73
1341,4,31
1422,4,32
1508,4,33
142,3,63
1254,3,64
1964,3,65
1251,3,66
1987,3,67
143,3,68
1849,3,69
646,3,70
2222,3,71
150,4,34
1503,5,61
1730,4,35
