OBJECTID,V
TRO-00003,1
TRO-00449,1
TRO-00571,4
TRO-01758,4
TRO-01055,2
TRO-01534,1
TRO-01658,2
TRO-00005,5
TRO-01457,5
TRO-00063,5
TRO-00006,1
TRO-00327,1
TRO-00445,1
TRO-00505,1
TRO-00545,1
TRO-00009,5
TRO-00448,5
TRO-01197,3
TRO-00486,5
TRO-00985,4
TRO-00012,3
TRO-01179,3
TRO-01367,5
TRO-00637,3
TRO-01054,3
TRO-00013,4
TRO-01041,4
TRO-01771,4
TRO-00194,4
TRO-00226,4
TRO-01047,4
TRO-00014,2
TRO-00027,2
TRO-00913,1
TRO-01655,1
TRO-00016,5
TRO-00554,5
TRO-01035,5
TRO-00093,1
TRO-00540,1
TRO-02116,1
TRO-00962,1
TRO-00018,1
TRO-00717,1
TRO-02068,1
TRO-02209,1
TRO-01943,1
TRO-02194,2
TRO-00019,3
TRO-00207,3
TRO-02216,3
TRO-00929,3
TRO-00020,5
TRO-01364,5
TRO-02011,5
TRO-00133,5
TRO-01225,5
TRO-00021,2
TRO-00278,1
TRO-00838,1
TRO-01443,2
TRO-02201,2
TRO-02217,1
TRO-00026,2
TRO-01259,2
TRO-01735,2
TRO-01880,2
TRO-01531,5
TRO-01541,5
TRO-01169,2
TRO-01275,2
TRO-01611,2
TRO-00028,2
TRO-01693,2
TRO-01875,2
TRO-00530,2
TRO-01107,2
TRO-00037,4
TRO-00886,5
TRO-01720,2
TRO-01740,5
TRO-00640,2
TRO-01858,4
TRO-02212,2
TRO-00041,2
TRO-00130,1
TRO-00394,1
TRO-01425,1
TRO-01614,2
TRO-01971,2
TRO-00042,2
TRO-00459,2
TRO-00774,1
TRO-01135,2
TRO-00046,3
TRO-00742,5
TRO-02247,3
TRO-00805,3
TRO-00047,4
TRO-00312,5
TRO-01606,4
TRO-00614,4
TRO-01955,3
TRO-00048,5
TRO-00079,4
TRO-02124,4
TRO-00536,5
TRO-01883,3
TRO-00049,1
TRO-00932,1
TRO-01030,1
TRO-01959,2
TRO-00051,2
TRO-00587,2
TRO-01058,1
TRO-01532,1
TRO-00052,1
TRO-00060,1
TRO-00797,1
TRO-00054,3
TRO-00665,3
TRO-01797,3
TRO-02103,3
TRO-00055,4
TRO-00375,4
TRO-00403,4
TRO-00544,4
TRO-00592,4
TRO-00912,4
TRO-00056,2
TRO-01956,2
TRO-00057,2
TRO-00651,2
TRO-01785,2
TRO-01795,2
TRO-00229,2
TRO-00757,2
TRO-01127,2
TRO-00058,3
TRO-01736,5
TRO-01783,3
TRO-01161,3
TRO-02105,3
TRO-00641,2
TRO-00732,1
TRO-00061,5
TRO-00085,5
TRO-00099,5
TRO-01963,5
TRO-00318,3
TRO-00525,3
TRO-01507,4
TRO-02012,5
TRO-02143,5
TRO-00067,3
TRO-00138,3
TRO-01391,3
TRO-00616,3
TRO-00698,3
TRO-00069,1
TRO-00846,1
TRO-00435,1
TRO-01546,1
TRO-00070,2
TRO-00952,2
TRO-01229,1
TRO-01423,1
TRO-01829,2
TRO-02072,1
TRO-00548,2
TRO-01527,2
TRO-01669,1
TRO-02104,1
TRO-00073,5
TRO-00654,5
TRO-01069,5
TRO-02198,5
TRO-00238,3
TRO-01019,5
TRO-01444,5
TRO-02140,3
TRO-00077,5
TRO-00876,5
TRO-01051,5
TRO-02207,5
TRO-01753,5
TRO-02073,4
TRO-00136,4
TRO-01827,4
TRO-00164,3
TRO-01435,3
TRO-00080,1
TRO-01332,4
TRO-01392,1
TRO-00687,1
TRO-00781,4
TRO-00081,3
TRO-00481,3
TRO-01755,3
TRO-00084,2
TRO-00850,2
TRO-01068,5
TRO-01409,5
TRO-00086,1
TRO-01104,1
TRO-01227,1
TRO-01325,1
TRO-01456,1
TRO-00091,3
TRO-00377,3
TRO-01396,5
TRO-00172,3
TRO-00707,3
TRO-01078,3
TRO-00094,2
TRO-00857,1
TRO-01408,1
TRO-02045,2
TRO-00095,2
TRO-01038,2
TRO-00352,2
TRO-01917,1
TRO-00170,1
TRO-01252,5
TRO-01843,5
TRO-01980,5
TRO-00105,2
TRO-00743,2
TRO-01924,5
TRO-00986,5
TRO-00107,2
TRO-00633,2
TRO-01371,2
TRO-00113,3
TRO-00275,3
TRO-01024,3
TRO-01216,3
TRO-01411,5
TRO-01547,5
TRO-00116,3
TRO-00417,3
TRO-00855,3
TRO-00270,3
TRO-01725,3
TRO-00117,3
TRO-00203,3
TRO-00669,3
TRO-00513,3
TRO-01992,3
TRO-00118,2
TRO-01420,2
TRO-01701,1
TRO-01734,1
TRO-00716,1
TRO-00803,2
TRO-01173,1
TRO-01603,1
TRO-00119,1
TRO-01301,1
TRO-00124,1
TRO-01195,2
TRO-01302,1
TRO-01678,2
TRO-00128,2
TRO-00386,2
TRO-01485,2
TRO-00127,5
TRO-00152,4
TRO-01467,4
TRO-00189,3
TRO-00602,3
TRO-02220,5
TRO-00678,1
TRO-01851,2
TRO-02202,2
TRO-00131,3
TRO-00897,3
TRO-01814,3
TRO-00531,3
TRO-01140,3
TRO-01672,5
TRO-00134,5
TRO-00497,5
TRO-00849,5
TRO-02112,5
TRO-00135,2
TRO-00306,5
TRO-00655,5
TRO-01101,2
TRO-01710,2
TRO-01857,2
TRO-01341,4
TRO-01422,4
TRO-01508,4
TRO-00142,3
TRO-01254,3
TRO-01964,3
TRO-01251,3
TRO-01987,3
TRO-00143,3
TRO-01849,3
TRO-00646,3
TRO-02222,3
TRO-00150,4
TRO-01503,5
TRO-01730,4
TRO-00709,4
TRO-00880,3
TRO-01071,3
TRO-00255,4
TRO-01893,4
TRO-00157,5
TRO-00946,5
TRO-01798,5
